Client Name:  Marketocracy Capital Management, LLC
Folio Name:  FOLIOfn: mrivers_RCAP
Folio Number:  9A1544500901
Download Date:  09/03/2019

Date,Market Value,Total Flow,Accrued,Fee,Return Without Fees,Return With Fees
08/30/2019,4912635.74268,0.00014,0.00000,0.00000,0.66651,0.66651
08/29/2019,4878723.33388,0.00000,1385.83643,0.00000,1.52603,1.52603
08/28/2019,4805370.61696,0.00000,1385.83643,0.00000,1.02990,1.02990
08/27/2019,4756370.47477,0.00000,1385.83643,0.00000,-1.78907,-1.78907
08/26/2019,4843040.54603,0.00000,1385.83643,0.00000,0.29958,0.29958
08/23/2019,4828570.72304,0.00000,1385.83643,0.00000,-2.56025,-2.56025
08/22/2019,4955478.71512,0.00000,1385.83643,0.00000,0.19995,0.19995
08/21/2019,4946973.24638,0.00000,0.00000,0.00000,0.61377,0.61377
08/20/2019,4916795.45104,0.00000,0.00000,0.00000,-1.38133,-1.38133
08/19/2019,4985663.85274,0.00000,0.00000,0.00000,1.09107,1.09107
08/16/2019,4931853.69115,0.00000,0.00000,0.00000,1.64984,1.64984
08/15/2019,4851806.75092,0.00000,0.00000,0.00000,-0.66374,-0.66374
08/14/2019,4884225.37767,0.00000,0.00000,0.00000,-2.99602,-2.99602
08/13/2019,5035077.23685,-0.00024,0.00000,0.00000,0.91338,0.91338
08/12/2019,4982238.60554,0.00000,7265.51140,0.00000,-1.39872,-1.39872
08/09/2019,5053017.86276,0.00000,7265.51140,0.00000,-1.80834,-1.80834
08/08/2019,5146210.43729,0.00000,7265.51140,0.00000,1.12179,1.12179
08/07/2019,5089040.76859,0.00000,7265.51140,0.00000,-0.37122,-0.37122
08/06/2019,5108029.75838,0.00000,7265.51140,0.00000,0.78812,0.78812
08/05/2019,5068030.28487,0.00000,7265.51140,0.00000,-2.20466,-2.20466
08/02/2019,5182445.93368,0.00000,7265.51140,0.00000,-1.03739,-1.03739
08/01/2019,5236847.89550,0.00000,7265.51140,0.00000,-0.29345,-0.29345
07/31/2019,5252282.01807,0.00000,7265.51140,0.00000,-1.07042,-1.07042
07/30/2019,5309190.21099,0.00000,7265.51140,0.00000,-0.93446,-0.93446
